concept,type,subset_of,name,name_short,name_long,link,description,usability,total_entity,total_name,default_entities,drillups,incomplete_drillups,ordinal,measure,interval,cardinality,value_interval,pattern,ddf_origin
year,time,,Year,Year,Year,,,,,,,,,TRUE,,TRUE,,,YYYY,"[{dataset:'ddf--gapminder--ontology', timestamp:'1/11/2016 10:14:22 PM +00:00',note:''}]"
quarter,time,,Quarter,Quarter,Quarter (Three Month Periods),,,,,,,,,TRUE,,TRUE,,,YYYYQQ,"[{dataset:'ddf--gapminder--ontology', timestamp:'1/11/2016 10:14:22 PM +00:00',note:''}]"
month,time,,Month,Month,Month,,,,,,,,,TRUE,,TRUE,,,YYYYMM,"[{dataset:'ddf--gapminder--ontology', timestamp:'1/11/2016 10:14:22 PM +00:00',note:''}]"
week,time,,Week,Week,Week,,,,,,,,,TRUE,,TRUE,,,YYYYWW,"[{dataset:'ddf--gapminder--ontology', timestamp:'1/11/2016 10:14:22 PM +00:00',note:''}]"
date,time,,Day,Day,Day,,,,,,,,,TRUE,,TRUE,,,YYYYMMDD,"[{dataset:'ddf--gapminder--ontology', timestamp:'1/11/2016 10:14:22 PM +00:00',note:''}]"
geo,entity_type,,Geography,Geo,,,Geographical & political divisions of the world.,,,,"world,asia,europe,africa,america",,,,,,,,,"[{dataset:'ddf--gapminder--dim_geo_countries_and_groups', timestamp:'1/11/2016 10:14:22 PM +00:00',note:''}]"
global,entity_set,geo,Global,Global,The Planet Earth,https://en.wikipedia.org/wiki/Earth,The complete planet earth and everything on it.,1,,,world,,,FALSE,FALSE,FALSE,1,,,"[{dataset:'ddf--gapminder--dim_geo_countries_and_groups', timestamp:'1/11/2016 10:14:22 PM +00:00',note:''}]"
world_4region,entity_set,geo,World Regions,Regions,Four equal size world regions,,Gapminder's deivision of the world into four regions of similar land coverage.,1,world,All Regions,"asia,europe,africa,america",global,,FALSE,FALSE,FALSE,4,,,"[{dataset:'ddf--gapminder--dim_geo_countries_and_groups', timestamp:'1/11/2016 10:14:22 PM +00:00',note:''}]"
country,entity_set,geo,Countries,Countries,Countries and Territories,,"Countries & Territories frequently found in international statistics, even if some of them politically are subdivisions of other countries.",2,world,All Countries,"chn,ind,usa,idn,bra,pak,nig,bgd,rus,mex",world_4region,,FALSE,FALSE,FALSE,,,,"[{dataset:'ddf--gapminder--dim_geo_countries_and_groups', timestamp:'1/11/2016 10:14:22 PM +00:00',note:''}]"
un_state,entity_set,geo,Countries of UN,Countries,UN recognized states,https://en.wikipedia.org/wiki/List_of_states_with_limited_recognition,UN Members and States recognized by at least one UN agency.,1,world,All  UN States,"chn,ind,usa,idn,bra,pak,nig,bgd,rus,mex",world_4region,,FALSE,FALSE,FALSE,,,,"[{dataset:'ddf--gapminder--dim_geo_countries_and_groups', timestamp:'1/11/2016 10:14:22 PM +00:00',note:''}]"
name,string,,Name,,,,,,,,,,,,,,,,,
name_short,string,,Short name,,,,,,,,,,,,,,,,,
name_long,string,,Long name,,,,,,,,,,,,,,,,,
description,string,,Description,,,,,,,,,,,,,,,,,
link,URL,,Link,,,,,,,,,,,,,,,,,
usability,integer,,Usability rating,,,,,,,,,,,,,,,0<=x<=5,,
subset_of,concept which is an entity_type,,Subset of,,Set which this set is a subset of,,,,,,,,,,,,,,,
total_entity,geo,,Total entity,,The entity which contains all entities in this set,,,,,,,,,,,,,,,
total_name,string,,Total name,,Name of all entities together,,,,,,,,,,,,,,,
default_entities,array of entities,,Default entities,,,,,,,,,,,,,,,,,
drillups,concept which is an entity_set ,,Drill ups,,Entity set which this entity set drills up to,,,,,,,,,,,,,,,
incomplete_drillups,???,,Incomplete drill up,,,,,,,,,,,,,,,,,
ordinal,boolean,,Ordinal,,,,,,,,,,,,,,,,,
measure,boolean ???,,Measure,,,,,,,,,,,,,,,,,
interval,boolean,,Interval,,,,,,,,,,,,,,,,,
cardinality,integer,,Cardinality,,,,,,,,,,,,,,,0<=x,,
aliases,array of strings,,Aliases,,,,,,,,,,,,,,,,,
pattern,string ???,,Pattern,,,,,,,,,,,,,,,,,
ddf_origin,json,,DDF Origin,,,,,,,,,,,,,,,,,
definition_snippet,string,,Definition snippet,,,,,,,,,,,,,,,,,
title,string,,Title,,,,,,,,,,,,,,,,,
low_label_short,string,,Low label short,,,,,,,,,,,,,,,,,
low_label,string,,Low label,,,,,,,,,,,,,,,,,
high_label_short,string,,High label short,,,,,,,,,,,,,,,,,
high_label,string,,High label,,,,,,,,,,,,,,,,,
good_direction,string,,Good direction,,,,,,,,,,,,,,,,,
tags,array of strings,,Tags,,,,,,,,,,,,,,,,,
unit,entity_type,,Unit,,,,,,,,,,,,,,,,,
value_interval,interval,,Interval,,,,,,,,,,,,,,,,,
scales,array of strings,,Scales,,,,,,,,,,,,,,,,,
precision_maximum,integer,,Precision maximum,,,,,,,,,,,,,,,0<=x,,
decimals_maximum,integer,,Decimals maximum,,,,,,,,,,,,,,,0<=x,,
